,0
AAPL,2430931042304
MSFT,2180540137472
GOOGL,1821336535040
GOOG,1821334831104
AMZN,1709739737088
FB,1029186977792
GE,904375500800
TSLA,688424484864
BRK-B,640498401280
V,528550887424
JPM,463600320512
JNJ,457395273728
WMT,407684808704
UNH,388040818688
MA,368610017280
HD,354182529024
PG,348872769536
PYPL,329711484928
BAC,328349417472
DIS,321069711360
ADBE,301122912256
NKE,274677809152
CMCSA,268030885888
LLY,253364830208
PFE,252231909376
ORCL,249688555520
KO,243609927680
XOM,242158501888
CSCO,234983784448
NFLX,232737816576
CRM,231074709504
VZ,228945854464
DHR,219076509696
INTC,217607831552
ABT,216656330752
PEP,213199306752
TMO,213158723584
ABBV,203437768704
ACN,203120427008
AVGO,200071987200
T,199487684608
COST,196126654464
CVX,195177529344
WFC,194591227904
MRK,191398395904
MS,182021521408
TXN,178387894272
TMUS,176959733760
MCD,176410460160
MDT,173939507200
MRNA,167140048896
UPS,166888079360
QCOM,165624233984
HON,159664537600
LIN,158520737792
NEE,157877108736
PM,155215003648
BMY,154363052032
INTU,147016089600
UNP,145588649984
CHTR,145255841792
C,144052715520
SBUX,140253052928
AMD,136277172224
BLK,135638327296
LOW,134789775360
AXP,134759677952
BA,134471213056
AMGN,132871700480
RTX,131631022080
SCHW,130724061184
GS,130570526720
AMAT,130032082944
TGT,129320853504
AMT,128695672832
NVDA,128568508416
IBM,127568281600
ISRG,120674689024
EL,119154073600
NOW,117580283904
MMM,114454601728
DE,113646714880
CAT,113495990272
SPGI,106410344448
CVS,105391431680
LMT,100273037312
SYK,99691446272
ZTS,96776503296
PLD,96503382016
LRCX,92083388416
ANTM,91840233472
MU,91384512512
BKNG,90632675328
ADP,90238943232
MO,87335632896
GILD,86914678784
MDLZ,86895362048
CCI,84043669504
USB,83547570176
DUK,83021594624
TJX,82741084160
HCA,82352939008
FIS,80576987136
PNC,79312486400
GM,78974468096
SHW,78630780928
CB,77580697600
MMC,76752732160
COP,75500052480
ILMN,75289280512
CME,74781949952
TFC,74706419712
EQIX,74406862848
COF,73678487552
FDX,73181323264
FISV,73104556032
MCO,72416444416
ADSK,72344674304
ITW,71699120128
EW,71351492608
BDX,70692036608
CI,70647545856
SO,68578050048
ICE,67205517312
CL,66746957824
ETN,64525119488
REGN,64189558784
APD,63897780224
NSC,63678824448
