Symbol,GICS Sector,Market_Cap
MMM,Industrials,114454601728
ABT,Health Care,216656330752
ABBV,Health Care,203437768704
ABMD,Health Care,15819056128
ACN,Information Technology,203120427008
ATVI,Communication Services,62465507328
ADBE,Information Technology,301122912256
AMD,Information Technology,136277172224
AAP,Consumer Discretionary,13502662656
AES,Utilities,16559046656
AFL,Financials,37273075712
A,Health Care,47045799936
APD,Materials,63897780224
AKAM,Information Technology,18480031744
ALK,Industrials,7208411648
ALB,Materials,25567608832
ARE,Real Estate,31561996288
ALGN,Health Care,55333892096
ALLE,Industrials,12315288576
LNT,Utilities,15125663744
ALL,Financials,37826469888
GOOGL,Communication Services,1821336535040
GOOG,Communication Services,1821334831104
MO,Consumer Staples,87335632896
AMZN,Consumer Discretionary,1709739737088
AMCR,Materials,18008107008
AEE,Utilities,22010777600
AAL,Industrials,13538345984
AEP,Utilities,44852506624
AXP,Financials,134759677952
AIG,Financials,41757138944
AMT,Real Estate,128695672832
AWK,Utilities,32609386496
AMP,Financials,29911166976
ABC,Health Care,25327159296
AME,Industrials,31652100096
AMGN,Health Care,132871700480
APH,Information Technology,44074270720
ADI,Information Technology,62674771968
ANSS,Information Technology,32586188800
ANTM,Health Care,91840233472
AON,Financials,59236012032
AOS,Industrials,11355757568
APA,Energy,6826191872
AAPL,Information Technology,2430931042304
AMAT,Information Technology,130032082944
APTV,Consumer Discretionary,43179417600
ADM,Consumer Staples,32890722304
ANET,Information Technology,29198338048
AJG,Financials,28659683328
AIZ,Financials,9617370112
T,Communication Services,199487684608
ATO,Utilities,13250436096
ADSK,Information Technology,72344674304
ADP,Information Technology,90238943232
AZO,Consumer Discretionary,35325067264
AVB,Real Estate,31996067840
AVY,Materials,17562906624
BKR,Energy,17282238464
BLL,Materials,26516439040
BAC,Financials,328349417472
BK,Financials,44712415232
BAX,Health Care,37223301120
BDX,Health Care,70692036608
BBY,Consumer Discretionary,28897069056
BIO,Health Care,22868027392
BIIB,Health Care,50675310592
BLK,Financials,135638327296
BA,Industrials,134471213056
BKNG,Consumer Discretionary,90632675328
BWA,Consumer Discretionary,11157729280
